A|Fruit that can be red or green|apple
B|Place where you keep money|bank
C|Animal often kept as a pet and says meow|cat
D|Animal often kept as a pet and says bark|dog
E|Large animal with a trunk|elephant
F|Animal that lives in water and has fins|fish
G|Color made by mixing black and white|gray
H|Building where doctors work|hospital
I|Frozen water|ice
J|Sweet fruit often made into jam|jam
K|Object used to open a lock|key
L|Object used to read books at night|lamp
M|Natural satellite of Earth|moon
N|Opposite of day|night
O|Fruit used to make juice|orange
P|Writing tool with ink|pen
Q|Person who rules as a female monarch|queen
R|Color of an apple or rose|red
S|Large star in our solar system|sun
T|Tall plant with a trunk and branches|tree
U|Object used when it rains|umbrella
V|Large vehicle used to transport goods|van
W|Liquid we drink|water
X|Musical instrument with bars struck by mallets|xylophone
Y|Color of a banana|yellow
Z|Animal with black and white stripes|zebra
